actual,predicted,residual,abs_residual,pct_error,timestamp,hour,month,day_of_week
14.41,7.647515079870459,6.762484920129541,6.762484920129541,46.92911117369564,2025-11-13 14:15:00,14,11,3
14.44,16.16032753636449,-1.7203275363644916,1.7203275363644916,11.913625598092048,2025-11-13 14:30:00,14,11,3
14.37,16.368092665776686,-1.9980926657766869,1.9980926657766869,13.904611452864907,2025-11-13 14:45:00,14,11,3
13.78,15.831286324706912,-2.051286324706913,2.051286324706913,14.885967523272228,2025-11-13 15:00:00,15,11,3
13.98,15.982151395270368,-2.002151395270367,2.002151395270367,14.321540738700767,2025-11-13 15:15:00,15,11,3
13.72,16.10577941972549,-2.3857794197254893,2.3857794197254893,17.38906282598753,2025-11-13 15:30:00,15,11,3
13.75,15.763486792704374,-2.0134867927043736,2.0134867927043736,14.643540310577263,2025-11-13 15:45:00,15,11,3
14.28,15.714375629076557,-1.4343756290765572,1.4343756290765572,10.044647262440877,2025-11-13 16:00:00,16,11,3
14.14,16.858995676751157,-2.718995676751156,2.718995676751156,19.22910662483137,2025-11-13 16:15:00,16,11,3
14.15,16.296143882057095,-2.1461438820570944,2.1461438820570944,15.167094572841656,2025-11-13 16:30:00,16,11,3
14.28,16.570435316381086,-2.290435316381087,2.290435316381087,16.039462999867556,2025-11-13 16:45:00,16,11,3
14.62,17.576723377900798,-2.956723377900799,2.956723377900799,20.22382611423255,2025-11-13 17:00:00,17,11,3
14.61,17.359441802895077,-2.7494418028950776,2.7494418028950776,18.81890351057548,2025-11-13 17:15:00,17,11,3
14.54,17.405960353931654,-2.865960353931655,2.865960353931655,19.710869009158564,2025-11-13 17:30:00,17,11,3
14.52,17.462822023046016,-2.9428220230460163,2.9428220230460163,20.26736930472463,2025-11-13 17:45:00,17,11,3
14.51,18.168861387723943,-3.6588613877239435,3.6588613877239435,25.216136373011327,2025-11-13 18:00:00,18,11,3
14.52,17.888303472094186,-3.368303472094187,3.368303472094187,23.197682314698255,2025-11-13 18:15:00,18,11,3
